Wall time,Step,Value
1495560315.245332,99999,0.04190860688686371
1495561701.901752,149999,0.045367490500211716
1495563086.489316,199999,0.04827502742409706
1495564485.1701,249999,0.04768029972910881
1495565892.346272,299999,0.04934892803430557
1495567303.018199,349999,0.054293785244226456
1495568723.214272,399999,0.057557858526706696
1495570154.183516,449999,0.05615794286131859
1495571596.048978,499999,0.0624065063893795
1495573051.453444,549999,0.0683174729347229
1495574513.782244,599999,0.07234036922454834
1495575974.202403,649999,0.07928551733493805
1495577432.158777,699999,0.0830644816160202
1495578886.139896,749999,0.09479169547557831
1495580338.678769,799999,0.09523048251867294
1495581784.84453,849999,0.1017906442284584
1495583233.547326,899999,0.10838682949542999
1495584676.768167,949999,0.1074683889746666
1495586123.163949,999999,0.11035694926977158
1495587571.12674,1049999,0.11594321578741074
1495589023.431632,1099999,0.11937159299850464
1495590470.688292,1149999,0.12156963348388672
1495591913.637174,1199999,0.12611763179302216
1495593358.427602,1249999,0.12707726657390594
1495594800.131684,1299999,0.130210742354393
1495596242.836182,1349999,0.13734228909015656
1495597682.191474,1399999,0.1354590803384781
1495599126.08863,1449999,0.1375393271446228
1495600570.668502,1499999,0.1384630799293518
1495602010.096406,1549999,0.13784445822238922
1495603448.31385,1599999,0.13350580632686615
1495604889.464485,1649999,0.13977836072444916
1495606332.396745,1699999,0.1403794139623642
1495607775.32924,1749999,0.13828229904174805
1495609217.777791,1799999,0.1404266506433487
1495610651.81623,1849999,0.13692303001880646
1495612090.825263,1899999,0.13767743110656738
1495613535.087205,1949999,0.1461009532213211
1495614975.919935,1999999,0.1448591649532318
1495616417.07444,2049999,0.14252562820911407
1495617858.74825,2099999,0.13974234461784363
1495619295.295243,2149999,0.13839265704154968
1495620731.711405,2199999,0.13878032565116882
1495622167.506786,2249999,0.1418038308620453
1495623604.464986,2299999,0.13564777374267578
1495625041.140941,2349999,0.12556558847427368
1495626479.884911,2399999,0.13396187126636505
1495627919.191146,2449999,0.13160832226276398
1495629354.499362,2499999,0.1256471425294876
1495630792.045931,2549999,0.12859641015529633
1495632228.664107,2599999,0.1251237839460373
1495633665.664163,2649999,0.12573610246181488
1495635098.912072,2699999,0.12837260961532593
1495636533.909238,2749999,0.1264558732509613
1495637970.158107,2799999,0.12951700389385223
1495639406.021608,2849999,0.12463746964931488
1495640844.582395,2899999,0.12183094769716263
1495642278.349156,2949999,0.11818026751279831
1495643716.743927,2999999,0.116839200258255
1495645152.26835,3049999,0.12037983536720276
1495646588.417916,3099999,0.12424677610397339
1495648026.195638,3149999,0.12133324146270752
1495649461.125741,3199999,0.1262330561876297
1495650895.00602,3249999,0.12952856719493866
1495652332.289489,3299999,0.11994895339012146
1495653769.239672,3349999,0.1252402365207672
1495655206.163919,3399999,0.12346494197845459
1495656644.640009,3449999,0.12348280847072601
1495658080.277641,3499999,0.12520816922187805
1495659512.352272,3549999,0.12165746837854385
1495660942.408683,3599999,0.11819799244403839
1495662374.626475,3649999,0.12215559929609299
1495663806.733207,3699999,0.12296772748231888
1495665245.162218,3749999,0.11900390684604645
1495666680.288803,3799999,0.1245172843337059
1495668114.510434,3849999,0.12112060189247131
1495669546.449282,3899999,0.11514883488416672
1495670977.381967,3949999,0.11271825432777405
1495672408.319618,3999999,0.11351081728935242
1495673835.739647,4049999,0.11959561705589294
1495675267.851083,4099999,0.11868419498205185
1495676703.355342,4149999,0.1166212186217308
1495678139.400125,4199999,0.11435721069574356
1495679572.928044,4249999,0.11689735949039459
1495681007.683782,4299999,0.1098397821187973
1495682438.912241,4349999,0.10845927149057388
