Wall time,Step,Value
1495992218.230899,99999,773.1707153320312
1495993261.91618,149999,790.7485961914062
1495994302.580032,199999,790.70263671875
1495995348.238975,249999,807.3706665039062
1495996407.071914,299999,780.8701782226562
1495997475.203494,349999,698.1735229492188
1495998553.123661,399999,711.9302978515625
1495999641.960768,449999,708.586181640625
1496000742.723186,499999,634.790771484375
1496001854.658817,549999,678.63818359375
1496002971.059964,599999,663.75
1496004086.370923,649999,817.3432006835938
1496005202.520343,699999,851.7343139648438
1496006319.568619,749999,845.4209594726562
1496007436.041089,799999,880.8446655273438
1496008550.627059,849999,950.6405639648438
1496009665.165434,899999,952.3273315429688
1496010780.941267,949999,821.946044921875
1496011897.212815,999999,826.980712890625
1496013012.699485,1049999,828.9050903320312
1496014129.17814,1099999,829.1576538085938
1496015243.995757,1149999,836.179443359375
1496016360.162465,1199999,824.1083984375
1496017476.403457,1249999,875.4937744140625
1496018591.69472,1299999,802.0027465820312
1496019707.950142,1349999,804.5640258789062
1496020823.375596,1399999,809.3250122070312
1496021939.720146,1449999,812.6365966796875
1496023056.730262,1499999,776.3710327148438
1496024174.445932,1549999,759.760986328125
1496025289.996132,1599999,812.016845703125
1496026406.012508,1649999,770.3452758789062
1496027520.620898,1699999,841.0183715820312
1496028636.411618,1749999,803.6664428710938
1496029753.024146,1799999,859.2198486328125
1496030868.057716,1849999,920.2482299804688
1496031983.38443,1899999,889.2883911132812
1496033098.121139,1949999,922.1085815429688
1496034214.98917,1999999,917.0496826171875
1496035329.860027,2049999,934.8819580078125
1496036445.419446,2099999,1019.9682006835938
1496037558.156038,2149999,1123.90771484375
1496038672.072371,2199999,1109.7095947265625
1496039786.369469,2249999,1127.674072265625
1496040900.345322,2299999,1204.7203369140625
1496042020.791013,2349999,1258.6859130859375
1496043155.987873,2399999,1313.1163330078125
1496044286.752141,2449999,1293.7843017578125
1496045414.210261,2499999,1400.196044921875
1496046543.491238,2549999,1384.9566650390625
1496047671.731836,2599999,1486.31884765625
1496048807.139607,2649999,1368.8447265625
1496049943.215544,2699999,1531.3079833984375
1496051078.793278,2749999,1624.5067138671875
1496052211.434604,2799999,1667.5213623046875
1496053342.343368,2849999,1616.0377197265625
1496054484.651224,2899999,1646.6527099609375
1496055636.081501,2949999,1843.387451171875
1496056768.430122,2999999,1636.247314453125
1496057901.394329,3049999,1676.5933837890625
1496059053.061343,3099999,1899.768310546875
1496060205.314173,3149999,1779.5687255859375
1496061356.754967,3199999,1819.2396240234375
1496062507.345051,3249999,1980.2225341796875
1496063660.635778,3299999,1720.73583984375
1496064812.711699,3349999,2081.784423828125
1496065966.102707,3399999,1957.1083984375
1496067123.022307,3449999,1925.6317138671875
1496068279.467708,3499999,2097.788818359375
1496069424.459004,3549999,2068.671630859375
1496070554.255087,3599999,1995.584716796875
1496071684.043342,3649999,2151.526611328125
1496072818.959028,3699999,2175.958984375
1496073977.730761,3749999,2251.365478515625
1496075138.794329,3799999,2150.06396484375
1496076291.737645,3849999,2291.9892578125
1496077422.924198,3899999,2403.30126953125
1496078560.035476,3949999,2281.771484375
1496079707.157157,3999999,2357.923583984375
1496080839.15457,4049999,2331.536376953125
1496081971.03816,4099999,2194.68212890625
1496083104.26757,4149999,2302.716796875
1496084237.646146,4199999,2063.532470703125
1496085371.345634,4249999,2182.081787109375
1496086504.617766,4299999,2316.914794921875
1496087639.380846,4349999,2213.928955078125
1496088781.585864,4399999,2403.872802734375
1496089933.492157,4449999,2293.36865234375
1496091070.030832,4499999,2382.849609375
1496092206.430854,4549999,2434.06298828125
1496093342.412084,4599999,2573.184326171875
1496094478.909353,4649999,2591.798583984375
1496095615.351516,4699999,2563.936767578125
1496096751.824117,4749999,2781.126220703125
1496097889.18451,4799999,2547.8447265625
1496099026.071298,4849999,2475.8427734375
1496100165.162315,4899999,2575.910400390625
1496101301.986036,4949999,2415.739501953125
1496102439.553015,4999999,2513.872802734375
1496103576.644206,5049999,2384.06005859375
1496104712.605973,5099999,2488.559326171875
1496105848.340434,5149999,2430.239013671875
1496106986.515249,5199999,2596.987060546875
1496108124.261527,5249999,2668.53759765625
1496109262.150127,5299999,2543.2431640625
1496110399.472026,5349999,2339.247314453125
1496111537.220906,5399999,2712.70068359375
1496112676.309008,5449999,2588.6982421875
1496113814.770776,5499999,2543.08349609375
1496114951.484111,5549999,2456.779541015625
1496116090.678036,5599999,2679.135498046875
1496117228.95438,5649999,2412.569091796875
1496118367.006242,5699999,2502.82080078125
1496119505.840595,5749999,2651.08544921875
1496120646.263395,5799999,2737.821533203125
1496121786.174466,5849999,2720.0
1496122924.358673,5899999,2437.00146484375
1496124063.460665,5949999,2356.556396484375
