Wall time,Step,Value
1495895864.933464,99999,47.6028938293457
1495901659.782366,149999,44.790748596191406
1495909679.543546,199999,46.39297866821289
1495920019.762963,249999,48.50503921508789
1495932600.109326,299999,56.03044509887695
1495947446.507042,349999,55.01758575439453
1495964909.861331,399999,67.89910888671875
1495985803.642059,449999,74.48735046386719
1496009689.63536,499999,80.97901916503906
1496034080.162967,549999,91.7272720336914
1496059213.699776,599999,85.92105102539062
1496086109.247357,649999,84.55714416503906
1496113205.038503,699999,86.14509582519531
1496140263.307771,749999,85.6690673828125
1496167492.077324,799999,86.9015121459961
1496194586.56593,849999,82.14080810546875
1496221758.533508,899999,87.00296783447266
1496249046.637586,949999,81.27507019042969
1496276252.720154,999999,87.52136993408203
1496303351.173331,1049999,89.48562622070312
1496330609.802076,1099999,80.4283676147461
1496357804.256048,1149999,87.41864013671875
1496384946.077542,1199999,82.3973617553711
1496412149.608837,1249999,87.27205657958984
1496439352.212402,1299999,87.6646728515625
1496466496.717885,1349999,91.63946533203125
1496493788.18358,1399999,90.8536605834961
1496520977.884741,1449999,81.15217590332031
1496548276.965838,1499999,90.96477508544922
1496575456.249576,1549999,82.18795013427734
1496602141.537366,1599999,81.7229232788086
1496628949.308028,1649999,88.91399383544922
1496655467.453906,1699999,85.49853515625
